sales_id,product_id,location_id,customer_id,customer_id,location_id,order_id,product_id,order_date,ship_mode,state,region,postal_code,country,city,segment,customer_name,customer_key
1,387,217,144,144,217,CA-2017-152156,387,2017-11-08 00:00:00,Second Class,Kentucky,South,42420,United States,Henderson,Consumer,Claire Gute,CG-12520
2,832,217,144,144,217,CA-2017-152156,832,2017-11-08 00:00:00,Second Class,Kentucky,South,42420,United States,Henderson,Consumer,Claire Gute,CG-12520
3,1439,515,240,240,515,CA-2017-138688,1439,2017-06-12 00:00:00,Second Class,California,West,90036,United States,Los Angeles,Corporate,Darrin Van Huff,DV-13045
4,368,170,706,706,170,US-2016-108966,368,2016-10-11 00:00:00,Standard Class,Florida,South,33311,United States,Fort Lauderdale,Consumer,Sean O'Donnell,SO-20335
5,574,170,706,706,170,US-2016-108966,574,2016-10-11 00:00:00,Standard Class,Florida,South,33311,United States,Fort Lauderdale,Consumer,Sean O'Donnell,SO-20335
6,570,514,89,89,514,CA-2015-115812,570,2015-06-09 00:00:00,Standard Class,California,West,90032,United States,Los Angeles,Consumer,Brosina Hoffman,BH-11710
7,1135,514,89,89,514,CA-2015-115812,1135,2015-06-09 00:00:00,Standard Class,California,West,90032,United States,Los Angeles,Consumer,Brosina Hoffman,BH-11710
8,1098,514,89,89,514,CA-2015-115812,1098,2015-06-09 00:00:00,Standard Class,California,West,90032,United States,Los Angeles,Consumer,Brosina Hoffman,BH-11710
9,535,514,89,89,514,CA-2015-115812,535,2015-06-09 00:00:00,Standard Class,California,West,90032,United States,Los Angeles,Consumer,Brosina Hoffman,BH-11710
10,295,514,89,89,514,CA-2015-115812,295,2015-06-09 00:00:00,Standard Class,California,West,90032,United States,Los Angeles,Consumer,Brosina Hoffman,BH-11710
11,424,514,89,89,514,CA-2015-115812,424,2015-06-09 00:00:00,Standard Class,California,West,90032,United States,Los Angeles,Consumer,Brosina Hoffman,BH-11710
12,971,514,89,89,514,CA-2015-115812,971,2015-06-09 00:00:00,Standard Class,California,West,90032,United States,Los Angeles,Consumer,Brosina Hoffman,BH-11710
13,1762,120,3,3,120,CA-2018-114412,1762,2018-04-15 00:00:00,Standard Class,North Carolina,South,28027,United States,Concord,Consumer,Andrew Allen,AA-10480
14,648,617,339,339,617,CA-2017-161389,648,2017-12-05 00:00:00,Standard Class,Washington,West,98103,United States,Seattle,Consumer,Irene Maddox,IM-15070
15,814,416,331,331,416,US-2016-118983,814,2016-11-22 00:00:00,Standard Class,Texas,Central,76106,United States,Fort Worth,Home Office,Harold Pawlan,HP-14815
16,1519,416,331,331,416,US-2016-118983,1519,2016-11-22 00:00:00,Standard Class,Texas,Central,76106,United States,Fort Worth,Home Office,Harold Pawlan,HP-14815
17,1525,293,598,598,293,CA-2015-105893,1525,2015-11-11 00:00:00,Standard Class,Wisconsin,Central,53711,United States,Madison,Consumer,Pete Kriz,PK-19075
18,660,482,19,19,482,CA-2015-167164,660,2015-05-13 00:00:00,Second Class,Utah,West,84084,United States,West Jordan,Consumer,Alejandro Grove,AG-10270
19,1156,575,793,793,575,CA-2015-143336,1156,2015-08-27 00:00:00,Second Class,California,West,94109,United States,San Francisco,Consumer,Zuschuss Donatelli,ZD-21925
20,434,575,793,793,575,CA-2015-143336,434,2015-08-27 00:00:00,Second Class,California,West,94109,United States,San Francisco,Consumer,Zuschuss Donatelli,ZD-21925
21,1642,575,793,793,575,CA-2015-143336,1642,2015-08-27 00:00:00,Second Class,California,West,94109,United States,San Francisco,Consumer,Zuschuss Donatelli,ZD-21925
22,1130,371,418,418,371,CA-2017-137330,1130,2017-12-09 00:00:00,Standard Class,Nebraska,Central,68025,United States,Fremont,Corporate,Ken Black,KB-16585
23,64,371,418,418,371,CA-2017-137330,64,2017-12-09 00:00:00,Standard Class,Nebraska,Central,68025,United States,Fremont,Corporate,Ken Black,KB-16585
24,746,82,685,685,82,US-2018-156909,746,2018-07-16 00:00:00,Second Class,Pennsylvania,East,19140,United States,Philadelphia,Consumer,Sandra Flanagan,SF-20065
25,368,480,250,250,480,CA-2016-106320,368,2016-09-25 00:00:00,Standard Class,Utah,West,84057,United States,Orem,Consumer,Emily Burns,EB-13870
26,1632,517,259,259,517,CA-2017-121755,1632,2017-01-16 00:00:00,Second Class,California,West,90049,United States,Los Angeles,Consumer,Eric Hoffmann,EH-13945
27,918,517,259,259,517,CA-2017-121755,918,2017-01-16 00:00:00,Second Class,California,West,90049,United States,Los Angeles,Consumer,Eric Hoffmann,EH-13945
28,1357,82,739,739,82,US-2016-150630,1357,2016-09-17 00:00:00,Standard Class,Pennsylvania,East,19140,United States,Philadelphia,Consumer,Tracy Blumstein,TB-21520
29,266,82,739,739,82,US-2016-150630,266,2016-09-17 00:00:00,Standard Class,Pennsylvania,East,19140,United States,Philadelphia,Consumer,Tracy Blumstein,TB-21520
30,874,82,739,739,82,US-2016-150630,874,2016-09-17 00:00:00,Standard Class,Pennsylvania,East,19140,United States,Philadelphia,Consumer,Tracy Blumstein,TB-21520
31,1291,82,739,739,82,US-2016-150630,1291,2016-09-17 00:00:00,Standard Class,Pennsylvania,East,19140,United States,Philadelphia,Consumer,Tracy Blumstein,TB-21520
32,361,82,739,739,82,US-2016-150630,361,2016-09-17 00:00:00,Standard Class,Pennsylvania,East,19140,United States,Philadelphia,Consumer,Tracy Blumstein,TB-21520
33,56,82,739,739,82,US-2016-150630,56,2016-09-17 00:00:00,Standard Class,Pennsylvania,East,19140,United States,Philadelphia,Consumer,Tracy Blumstein,TB-21520
34,1037,82,739,739,82,US-2016-150630,1037,2016-09-17 00:00:00,Standard Class,Pennsylvania,East,19140,United States,Philadelphia,Consumer,Tracy Blumstein,TB-21520
35,538,424,483,483,424,CA-2018-107727,538,2018-10-19 00:00:00,Second Class,Texas,Central,77095,United States,Houston,Home Office,Matt Abelman,MA-17560
36,725,405,301,301,405,CA-2017-117590,725,2017-12-08 00:00:00,First Class,Texas,Central,75080,United States,Richardson,Corporate,Gene Hale,GH-14485
37,593,405,301,301,405,CA-2017-117590,593,2017-12-08 00:00:00,First Class,Texas,Central,75080,United States,Richardson,Corporate,Gene Hale,GH-14485
38,7,422,705,705,422,CA-2016-117415,7,2016-12-27 00:00:00,Standard Class,Texas,Central,77041,United States,Houston,Home Office,Steve Nguyen,SN-20710
39,168,422,705,705,422,CA-2016-117415,168,2016-12-27 00:00:00,Standard Class,Texas,Central,77041,United States,Houston,Home Office,Steve Nguyen,SN-20710
40,752,422,705,705,422,CA-2016-117415,752,2016-12-27 00:00:00,Standard Class,Texas,Central,77041,United States,Houston,Home Office,Steve Nguyen,SN-20710
41,1279,422,705,705,422,CA-2016-117415,1279,2016-12-27 00:00:00,Standard Class,Texas,Central,77041,United States,Houston,Home Office,Steve Nguyen,SN-20710
42,1250,343,453,453,343,CA-2018-120999,1250,2018-09-10 00:00:00,Standard Class,Illinois,Central,60540,United States,Naperville,Corporate,Linda Cazamias,LC-16930
43,557,517,618,618,517,CA-2017-101343,557,2017-07-17 00:00:00,Standard Class,California,West,90049,United States,Los Angeles,Corporate,Ruben Ausman,RA-19885
44,103,156,279,279,156,CA-2018-139619,103,2018-09-19 00:00:00,Standard Class,Florida,South,32935,United States,Melbourne,Corporate,Erin Smith,ES-14080
45,1604,304,580,580,304,CA-2017-118255,1604,2017-03-11 00:00:00,First Class,Minnesota,Central,55122,United States,Eagan,Corporate,Odella Nelson,ON-18715
46,1646,304,580,580,304,CA-2017-118255,1646,2017-03-11 00:00:00,First Class,Minnesota,Central,55122,United States,Eagan,Corporate,Odella Nelson,ON-18715
47,776,264,604,604,264,CA-2015-146703,776,2015-10-20 00:00:00,Second Class,Michigan,Central,48185,United States,Westland,Consumer,Patrick O'Donnell,PO-18865
48,917,87,462,462,87,CA-2017-169194,917,2017-06-20 00:00:00,Standard Class,Delaware,East,19901,United States,Dover,Consumer,Lena Hernandez,LH-16900
49,990,87,462,462,87,CA-2017-169194,990,2017-06-20 00:00:00,Standard Class,Delaware,East,19901,United States,Dover,Consumer,Lena Hernandez,LH-16900
50,453,250,231,231,250,CA-2016-115742,453,2016-04-18 00:00:00,Standard Class,Indiana,Central,47150,United States,New Albany,Consumer,Darren Powers,DP-13000
51,193,250,231,231,250,CA-2016-115742,193,2016-04-18 00:00:00,Standard Class,Indiana,Central,47150,United States,New Albany,Consumer,Darren Powers,DP-13000
52,1035,250,231,231,250,CA-2016-115742,1035,2016-04-18 00:00:00,Standard Class,Indiana,Central,47150,United States,New Albany,Consumer,Darren Powers,DP-13000
53,761,250,231,231,250,CA-2016-115742,761,2016-04-18 00:00:00,Standard Class,Indiana,Central,47150,United States,New Albany,Consumer,Darren Powers,DP-13000
54,110,54,391,391,54,CA-2017-105816,110,2017-12-11 00:00:00,Standard Class,New York,East,10024,United States,New York City,Corporate,Janet Molinari,JM-15265
55,160,54,391,391,54,CA-2017-105816,160,2017-12-11 00:00:00,Standard Class,New York,East,10024,United States,New York City,Corporate,Janet Molinari,JM-15265
56,816,65,732,732,65,CA-2017-111682,816,2017-06-17 00:00:00,First Class,New York,East,12180,United States,Troy,Consumer,Ted Butterfield,TB-21055
57,1836,65,732,732,65,CA-2017-111682,1836,2017-06-17 00:00:00,First Class,New York,East,12180,United States,Troy,Consumer,Ted Butterfield,TB-21055
58,1181,65,732,732,65,CA-2017-111682,1181,2017-06-17 00:00:00,First Class,New York,East,12180,United States,Troy,Consumer,Ted Butterfield,TB-21055
59,149,65,732,732,65,CA-2017-111682,149,2017-06-17 00:00:00,First Class,New York,East,12180,United States,Troy,Consumer,Ted Butterfield,TB-21055
60,917,65,732,732,65,CA-2017-111682,917,2017-06-17 00:00:00,First Class,New York,East,12180,United States,Troy,Consumer,Ted Butterfield,TB-21055
61,1286,65,732,732,65,CA-2017-111682,1286,2017-06-17 00:00:00,First Class,New York,East,12180,United States,Troy,Consumer,Ted Butterfield,TB-21055
62,1305,65,732,732,65,CA-2017-111682,1305,2017-06-17 00:00:00,First Class,New York,East,12180,United States,Troy,Consumer,Ted Butterfield,TB-21055
63,1605,512,439,439,512,CA-2016-135545,1605,2016-11-24 00:00:00,Standard Class,California,West,90004,United States,Los Angeles,Consumer,Kunst Miller,KM-16720
64,59,512,439,439,512,CA-2016-135545,59,2016-11-24 00:00:00,Standard Class,California,West,90004,United States,Los Angeles,Consumer,Kunst Miller,KM-16720
65,1737,512,439,439,512,CA-2016-135545,1737,2016-11-24 00:00:00,Standard Class,California,West,90004,United States,Los Angeles,Consumer,Kunst Miller,KM-16720
66,1040,512,439,439,512,CA-2016-135545,1040,2016-11-24 00:00:00,Standard Class,California,West,90004,United States,Los Angeles,Consumer,Kunst Miller,KM-16720
